system:index,EVI_Dynamic,EVI_Fixed1985,FVC_Dynamic,FVC_Fixed1985,NDMI_Dynamic,NDMI_Fixed1985,NDVI_p5_soil,NDVI_p95_veg,actual_imagery_year,region,year,.geo
17,0.08096279407385465,0.14073861397097054,0.18212841686307926,0.2507459206346873,0.3362073546453194,0.2914992816901247,0.1054915088163438,0.8006897098622799,2002,GBA,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.08765390556200112,0.137339876859278,0.1779277327244638,0.2387336688314634,0.31329589211023007,0.2779838357399152,0.129012102494118,0.7850776524780714,2003,GBA,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.10411931627058596,0.14936761592343686,0.17660304875381339,0.22895231080818707,0.294573218792179,0.26756997721494863,0.12903616513973015,0.777232993929015,2004,GBA,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.10436347255582082,0.1442694344630372,0.1691590832440389,0.21230503834339182,0.3091641554112431,0.2876794994463503,0.12896315821523838,0.7850433759784621,2005,GBA,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.0957247165069188,0.1427177802391226,0.1678516444111755,0.219601555836992,0.30360993793174657,0.2840340547804004,0.12899751683684324,0.7850291335264055,2006,GBA,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.10469464515926563,0.1444817143751569,0.17365893610683805,0.22395201450539085,0.28179302146128304,0.2656919699281074,0.1369257740656594,0.7850562940481215,2007,GBA,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.08635809800499034,0.1322282957516007,0.14696876139065648,0.202853609957769,0.30786810083286575,0.29229609009851765,0.1290823240013599,0.8006607947146304,2008,GBA,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.09470967914519915,0.14160111249806134,0.14595658202079045,0.21336744250676548,0.3027401837909273,0.2828518184392596,0.14465666899352644,0.792892471014992,2009,GBA,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.12261140065006287,0.15662203660919918,0.2021174103553921,0.25893301039504624,0.30839588742587415,0.2918539098251532,0.14473242351857066,0.8241995521341349,2010,GBA,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.11519130436470246,0.155216180766037,0.16633711099080584,0.21790849567962223,0.2741105452146052,0.2707633402146849,0.15248519355357865,0.8162407490954414,2011,GBA,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.1025934348664497,0.15167960054715224,0.20436920586805768,0.27041707257817016,0.2794496418817136,0.27440291047820986,0.06650398685901254,0.8398068343875956,2012,GBA,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.1220868799555703,0.16040124840442255,0.18830742469180614,0.2520209519733533,0.2779244479632463,0.27233240739777637,0.2071986655102826,0.8397162132854978,2013,GBA,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.12718657397703467,0.15529155343637288,0.19713971062864452,0.24217379139312967,0.2616782405780977,0.25616435451073216,0.1915565391770863,0.8318253573780242,2014,GBA,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.1412157346573091,0.17282290661564778,0.21030103418420523,0.25760995706810863,0.2520142791912385,0.24549147576019337,0.19930280066995598,0.8318877063515532,2015,GBA,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.14652117289259195,0.17288084129365244,0.2339354380784432,0.27930299977669937,0.27396133895577246,0.2719218883590533,0.19922456699955002,0.8475118915354826,2016,GBA,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.14138651747711956,0.16847793067261668,0.22729231439142575,0.2719495835044748,0.2661940202511181,0.264194334316563,0.19147804933979692,0.8475663915104132,2017,GBA,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.13067403139912342,0.1604342194241952,0.18503296075746692,0.22897669617654975,0.21934844128172556,0.22702552503364218,0.19142131336250334,0.8396811132669127,2018,GBA,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.13576607023922516,0.16157027145541641,0.21824851384650096,0.25892387136891887,0.2743507216420778,0.26873258544207906,0.19143430124672808,0.8474715295998828,2019,GBA,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.15080456772137923,0.17539222599421786,0.23453067846734812,0.2724816249301884,0.25003750489310184,0.250529548009038,0.18365641173122335,0.8397819355993317,2020,GBA,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
